#1
# columns: time adjusted_area_flow
double G36_cooling_only_controller_adjusted_area_flow(1441,2)
0.0 0.0
60.0 0.0
120.0 0.0
180.0 0.0
240.0 0.0
300.0 0.0
360.0 0.0
420.0 0.0
480.0 0.0
540.0 0.0
600.0 0.0
660.0 0.0
720.0 0.0
780.0 0.0
840.0 0.0
900.0 0.0
960.0 0.0
1020.0 0.0
1080.0 0.0
1140.0 0.0
1200.0 0.0
1260.0 0.0
1320.0 0.0
1380.0 0.0
1440.0 0.0
1500.0 0.0
1560.0 0.0
1620.0 0.0
1680.0 0.0
1740.0 0.0
1800.0 0.0
1860.0 0.0
1920.0 0.0
1980.0 0.0
2040.0 0.0
2100.0 0.0
2160.0 0.006
2220.0 0.006
2280.0 0.006
2340.0 0.006
2400.0 0.006
2460.0 0.006
2520.0 0.006
2580.0 0.006
2640.0 0.006
2700.0 0.006
2760.0 0.006
2820.0 0.006
2880.0 0.006
2940.0 0.006
3000.0 0.006
3060.0 0.006
3120.0 0.006
3180.0 0.006
3240.0 0.006
3300.0 0.006
3360.0 0.006
3420.0 0.006
3480.0 0.006
3540.0 0.006
3600.0 0.006
3660.0 0.006
3720.0 0.006
3780.0 0.006
3840.0 0.006
3900.0 0.006
3960.0 0.006
4020.0 0.006
4080.0 0.006
4140.0 0.006
4200.0 0.006
4260.0 0.006
4320.0 0.006
4380.0 0.006
4440.0 0.006
4500.0 0.006
4560.0 0.006
4620.0 0.006
4680.0 0.006
4740.0 0.006
4800.0 0.006
4860.0 0.006
4920.0 0.006
4980.0 0.006
5040.0 0.006
5100.0 0.006
5160.0 0.006
5220.0 0.006
5280.0 0.006
5340.0 0.006
5400.0 0.006
5460.0 0.006
5520.0 0.006
5580.0 0.006
5640.0 0.006
5700.0 0.006
5760.0 0.006
5820.0 0.006
5880.0 0.006
5940.0 0.006
6000.0 0.006
6060.0 0.006
6120.0 0.006
6180.0 0.006
6240.0 0.006
6300.0 0.006
6360.0 0.006
6420.0 0.006
6480.0 0.006
6540.0 0.006
6600.0 0.006
6660.0 0.006
6720.0 0.006
6780.0 0.006
6840.0 0.006
6900.0 0.006
6960.0 0.006
7020.0 0.006
7080.0 0.006
7140.0 0.006
7200.0 0.006
7260.0 0.006
7320.0 0.006
7380.0 0.006
7440.0 0.006
7500.0 0.006
7560.0 0.006
7620.0 0.006
7680.0 0.006
7740.0 0.006
7800.0 0.006
7860.0 0.006
7920.0 0.006
7980.0 0.006
8040.0 0.006
8100.0 0.006
8160.0 0.006
8220.0 0.006
8280.0 0.006
8340.0 0.006
8400.0 0.006
8460.0 0.006
8520.0 0.006
8580.0 0.006
8640.0 0.006
8700.0 0.006
8760.0 0.006
8820.0 0.006
8880.0 0.006
8940.0 0.006
9000.0 0.006
9060.0 0.006
9120.0 0.006
9180.0 0.006
9240.0 0.006
9300.0 0.006
9360.0 0.006
9420.0 0.006
9480.0 0.006
9540.0 0.006
9600.0 0.006
9660.0 0.006
9720.0 0.006
9780.0 0.006
9840.0 0.006
9900.0 0.006
9960.0 0.006
10020.0 0.006
10080.0 0.006
10140.0 0.006
10200.0 0.006
10260.0 0.006
10320.0 0.006
10380.0 0.006
10440.0 0.006
10500.0 0.006
10560.0 0.006
10620.0 0.006
10680.0 0.006
10740.0 0.006
10800.0 0.006
10860.0 0.006
10920.0 0.006
10980.0 0.006
11040.0 0.006
11100.0 0.006
11160.0 0.006
11220.0 0.006
11280.0 0.006
11340.0 0.006
11400.0 0.006
11460.0 0.006
11520.0 0.006
11580.0 0.006
11640.0 0.006
11700.0 0.006
11760.0 0.006
11820.0 0.006
