#1
# columns: time adjusted_population_flow
double G36_cooling_only_controller_adjusted_population_flow(1441,2)
0.0 0.0
60.0 0.0
120.0 0.0
180.0 0.0
240.0 0.0
300.0 0.0
360.0 0.0
420.0 0.0
480.0 0.0
540.0 0.0
600.0 0.0
660.0 0.0
720.0 0.0
780.0 0.0
840.0 0.0
900.0 0.0
960.0 0.0
1020.0 0.0
1080.0 0.0
1140.0 0.0
1200.0 0.0
1260.0 0.0
1320.0 0.0
1380.0 0.0
1440.0 0.0
1500.0 0.0
1560.0 0.0
1620.0 0.0
1680.0 0.0
1740.0 0.0
1800.0 0.0
1860.0 0.0
1920.0 0.0
1980.0 0.0
2040.0 0.0
2100.0 0.0
2160.0 0.0021899049973954686
2220.0 0.0023061452032511155
2280.0 0.002421587602596087
2340.0 0.00253621241496955
2400.0 0.0026500000000000013
2460.0 0.002762930860770525
2520.0 0.0028749856471594892
2580.0 0.0029861451591561175
2640.0 0.003096390350150271
2700.0 0.0032057023301960232
2760.0 0.0033140623692483294
2820.0 0.0034214519003723386
2880.0 0.003527852522924735
2940.0 0.00363324600570659
3000.0 0.00373761429008721
3060.0 0.0038409394930983432
3120.0 0.003943203910498374
3180.0 0.004044390019805851
3240.0 0.00414448048330184
3300.0 0.00424345815100069
3360.0 0.004341306063588584
3420.0 0.0044380074553294156
3480.0 0.004533545756937545
3540.0 0.0046279045984168035
3600.0 0.004721067811865476
3660.0 0.0048130194342465415
3720.0 0.004903743710122877
3780.0 0.004993225094356859
3840.0 0.005
3900.0 0.005
3960.0 0.005
4020.0 0.005
4080.0 0.005
4140.0 0.005
4200.0 0.005
4260.0 0.005
4320.0 0.005
4380.0 0.005
4440.0 0.005
4500.0 0.005
4560.0 0.005
4620.0 0.005
4680.0 0.005
4740.0 0.005
4800.0 0.005
4860.0 0.005
4920.0 0.005
4980.0 0.005
5040.0 0.005
5100.0 0.005
5160.0 0.005
5220.0 0.005
5280.0 0.005
5340.0 0.005
5400.0 0.005
5460.0 0.005
5520.0 0.005
5580.0 0.005
5640.0 0.005
5700.0 0.005
5760.0 0.005
5820.0 0.005
5880.0 0.005
5940.0 0.005
6000.0 0.005
6060.0 0.005
6120.0 0.005
6180.0 0.005
6240.0 0.005
6300.0 0.005
6360.0 0.005
6420.0 0.005
6480.0 0.005
6540.0 0.005
6600.0 0.005
6660.0 0.005
6720.0 0.005
6780.0 0.005
6840.0 0.005
6900.0 0.005
6960.0 0.005
7020.0 0.005
7080.0 0.005
7140.0 0.005
7200.0 0.005
7260.0 0.005
7320.0 0.005
7380.0 0.005
7440.0 0.005
7500.0 0.005
7560.0 0.005
7620.0 0.005
7680.0 0.005
7740.0 0.005
7800.0 0.005
7860.0 0.005
7920.0 0.005
7980.0 0.005
8040.0 0.005
8100.0 0.005
8160.0 0.005
8220.0 0.005
8280.0 0.005
8340.0 0.005
8400.0 0.005
8460.0 0.005
8520.0 0.005
8580.0 0.005
8640.0 0.005
8700.0 0.005
8760.0 0.005
8820.0 0.005
8880.0 0.005
8940.0 0.005
9000.0 0.005
9060.0 0.005
9120.0 0.005
9180.0 0.005
9240.0 0.005
9300.0 0.005
9360.0 0.005
9420.0 0.005
9480.0 0.005
9540.0 0.005
9600.0 0.005
9660.0 0.005
9720.0 0.005
9780.0 0.005
9840.0 0.005
9900.0 0.005
9960.0 0.005
10020.0 0.005
10080.0 0.005
10140.0 0.005
10200.0 0.005
10260.0 0.005
10320.0 0.005
10380.0 0.005
10440.0 0.005
10500.0 0.005
10560.0 0.005
10620.0 0.004993225094356854
10680.0 0.004903743710122877
10740.0 0.0048130194342465415
