#1
# columns: time airflow_setpoint
double G36_cooling_only_dampers_airflow_setpoint(34,2)
0.0 0.012
60.0 0.012
120.0 0.012
180.0 0.012
240.0 0.012
300.0 0.011999999999999997
360.0 0.0435
420.0 0.012
480.0 0.012
540.0 0.0435
600.0 0.0
660.0 0.09
720.0 0.01
780.0 0.05925
840.0 0.027749999999999997
900.0 0.0498
960.0 0.09
1020.0 0.0
1080.0 0.075
1140.0 0.075
1200.0 0.075
1260.0 0.011999999999999997
1320.0 0.011999999999999997
1380.0 0.011999999999999997
1440.0 0.011999999999999997
1500.0 0.09
1560.0 0.09
1620.0 0.09
1680.0 0.09
1740.0 0.011999999999999997
1800.0 0.011999999999999997
1860.0 0.0435
1920.0 0.012
1980.0 0.075
