#1
# columns: time damper_command
double G36_cooling_only_dampers_damper_command(34,2)
0.0 0.0
60.0 0.0
120.0 0.01
180.0 0.01
240.0 0.01
300.0 0.009999999999999972
360.0 0.16000000000000003
420.0 0.0
480.0 0.0
540.0 0.1820987654320988
600.0 0.0
660.0 0.8310150891632373
720.0 0.097681755829904
780.0 0.622681755829904
840.0 0.35990397805212615
900.0 0.6221262002743484
960.0 1.0
1020.0 0.0
1080.0 1.0
1140.0 0.0
1200.0 1.0
1260.0 0.8014452920119048
1320.0 0.0
1380.0 0.0
1440.0 0.010000000000000009
1500.0 1.0
1560.0 1.0
1620.0 1.0
1680.0 1.0
1740.0 0.0
1800.0 0.0
1860.0 0.5740344710576213
1920.0 0.4540344710576213
1980.0 1.0
