#1
# columns: time cooling_coil_command
double G36_multizone_vav_freeze_protection_cooling_coil_command(111,2)
0.0 0.44
60.0 0.44
120.0 0.44
180.0 0.44
240.0 0.44
300.0 0.44
360.0 0.44
420.0 0.44
480.0 0.44
540.0 0.44
600.0 0.44
660.0 0.44
720.0 0.44
780.0 0.44
840.0 0.44
900.0 0.44
960.0 0.44
1020.0 0.44
1080.0 0.44
1140.0 0.44
1200.0 0.44
1260.0 0.44
1320.0 0.44
1380.0 0.44
1440.0 0.44
1500.0 0.44
1560.0 0.44
1620.0 0.44
1680.0 0.44
1740.0 0.44
1800.0 1.0
1860.0 1.0
1920.0 1.0
1980.0 0.44
2040.0 0.44
2100.0 0.44
2160.0 0.44
2220.0 0.44
2280.0 0.44
2340.0 0.44
2400.0 0.44
2460.0 0.44
2520.0 0.44
2580.0 0.44
2640.0 0.44
2700.0 0.44
2760.0 0.44
2820.0 0.44
2880.0 0.44
2940.0 0.44
3000.0 0.44
3060.0 0.44
3120.0 0.44
3180.0 0.44
3240.0 0.44
3300.0 0.44
3360.0 0.44
3420.0 0.44
3480.0 0.44
3540.0 0.44
3600.0 0.44
3660.0 0.44
3720.0 0.44
3780.0 0.44
3840.0 0.44
3900.0 0.44
3960.0 0.44
4020.0 0.44
4080.0 0.44
4140.0 0.44
4200.0 0.44
4260.0 0.44
4320.0 0.44
4380.0 0.44
4440.0 0.44
4500.0 0.44
4560.0 0.44
4620.0 0.44
4680.0 0.44
4740.0 0.44
4800.0 0.44
4860.0 0.44
4920.0 0.44
4980.0 0.44
5040.0 0.44
5100.0 0.44
5160.0 0.44
5220.0 0.44
5280.0 0.44
5340.0 0.44
5400.0 0.44
5460.0 0.44
5520.0 0.44
5580.0 0.44
5640.0 0.44
5700.0 0.44
5760.0 0.44
5820.0 0.44
5880.0 0.44
5940.0 0.44
6000.0 0.44
6060.0 0.44
6120.0 0.44
6180.0 0.44
6240.0 0.44
6300.0 1.0
6360.0 0.44
6420.0 0.44
6480.0 0.44
6540.0 0.44
6600.0 0.44
