#1
# columns: time supply_fan_speed
double G36_multizone_vav_freeze_protection_supply_fan_speed(111,2)
0.0 0.58
60.0 0.58
120.0 0.58
180.0 0.58
240.0 0.58
300.0 0.58
360.0 0.58
420.0 0.58
480.0 0.58
540.0 0.58
600.0 0.58
660.0 0.58
720.0 0.58
780.0 0.58
840.0 0.58
900.0 0.58
960.0 0.58
1020.0 0.58
1080.0 0.58
1140.0 0.58
1200.0 0.58
1260.0 0.58
1320.0 0.58
1380.0 0.58
1440.0 0.58
1500.0 0.58
1560.0 0.58
1620.0 0.58
1680.0 0.58
1740.0 0.58
1800.0 0.0
1860.0 0.0
1920.0 0.0
1980.0 0.58
2040.0 0.58
2100.0 0.58
2160.0 0.58
2220.0 0.58
2280.0 0.58
2340.0 0.58
2400.0 0.58
2460.0 0.58
2520.0 0.58
2580.0 0.58
2640.0 0.58
2700.0 0.58
2760.0 0.58
2820.0 0.58
2880.0 0.58
2940.0 0.58
3000.0 0.58
3060.0 0.58
3120.0 0.58
3180.0 0.58
3240.0 0.58
3300.0 0.58
3360.0 0.58
3420.0 0.58
3480.0 0.58
3540.0 0.58
3600.0 0.58
3660.0 0.58
3720.0 0.58
3780.0 0.58
3840.0 0.58
3900.0 0.58
3960.0 0.58
4020.0 0.58
4080.0 0.58
4140.0 0.58
4200.0 0.58
4260.0 0.58
4320.0 0.58
4380.0 0.58
4440.0 0.58
4500.0 0.58
4560.0 0.58
4620.0 0.58
4680.0 0.58
4740.0 0.58
4800.0 0.58
4860.0 0.58
4920.0 0.58
4980.0 0.58
5040.0 0.58
5100.0 0.58
5160.0 0.58
5220.0 0.58
5280.0 0.58
5340.0 0.58
5400.0 0.58
5460.0 0.58
5520.0 0.58
5580.0 0.58
5640.0 0.58
5700.0 0.58
5760.0 0.58
5820.0 0.58
5880.0 0.58
5940.0 0.58
6000.0 0.58
6060.0 0.58
6120.0 0.58
6180.0 0.58
6240.0 0.58
6300.0 0.0
6360.0 0.58
6420.0 0.58
6480.0 0.58
6540.0 0.58
6600.0 0.58
