#1
# columns: time averaged_building_pressure
double G36_multizone_vav_relief_fan_averaged_building_pressure(30,2)
0.0 0.0
60.0 11.999800003333279
120.0 11.999900000833327
180.0 11.999933333703702
240.0 11.999950000208333
300.0 13.2
360.0 14.4
420.0 15.6
480.0 16.8
540.0 18.0
600.0 18.0
660.0 18.0
720.0 18.0
780.0 18.0
840.0 18.0
900.0 18.0
960.0 18.0
1020.0 18.0
1080.0 16.8
1140.0 15.6
1200.0 14.4
1260.0 13.2
1320.0 12.0
1380.0 12.0
1440.0 12.0
1500.0 12.0
1560.0 12.0
1620.0 12.0
1680.0 12.0
1740.0 12.0
