#1
# columns: time adjusted_area_flow
double G36_ventilation_zones_ashrae62_1_setpoints_adjusted_area_flow(60,2)
0.0 0.006
60.0 0.006
120.0 0.006
180.0 0.006
240.0 0.006
300.0 0.006
360.0 0.006
420.0 0.006
480.0 0.006
540.0 0.006
600.0 0.006
660.0 0.006
720.0 0.006
780.0 0.006
840.0 0.006
900.0 0.006
960.0 0.006
1020.0 0.006
1080.0 0.006
1140.0 0.006
1200.0 0.0
1260.0 0.0
1320.0 0.0
1380.0 0.0
1440.0 0.0
1500.0 0.0
1560.0 0.0
1620.0 0.0
1680.0 0.0
1740.0 0.0
1800.0 0.0
1860.0 0.0
1920.0 0.0
1980.0 0.0
2040.0 0.0
2100.0 0.0
2160.0 0.0
2220.0 0.0
2280.0 0.0
2340.0 0.0
2400.0 0.0
2460.0 0.0
2520.0 0.0
2580.0 0.0
2640.0 0.006
2700.0 0.006
2760.0 0.006
2820.0 0.006
2880.0 0.006
2940.0 0.006
3000.0 0.006
3060.0 0.006
3120.0 0.0
3180.0 0.0
3240.0 0.006
3300.0 0.006
3360.0 0.006
3420.0 0.006
3480.0 0.006
3540.0 0.006
