#1
# columns: time occupied_minimum_flow
double G36_ventilation_zones_ashrae62_1_setpoints_occupied_minimum_flow(60,2)
0.0 0.5
60.0 0.5
120.0 0.5
180.0 0.5
240.0 0.5
300.0 0.5
360.0 0.5
420.0 0.75
480.0 1.0
540.0 1.25
600.0 1.5
660.0 1.5
720.0 1.5
780.0 1.5
840.0 1.0
900.0 1.0
960.0 1.0
1020.0 1.0
1080.0 1.0
1140.0 1.0
1200.0 0.0
1260.0 0.0
1320.0 0.0
1380.0 0.0
1440.0 0.0
1500.0 0.0
1560.0 0.0
1620.0 0.0
1680.0 0.0
1740.0 0.0
1800.0 0.0
1860.0 0.0
1920.0 0.0
1980.0 0.0
2040.0 0.0
2100.0 0.0
2160.0 0.0
2220.0 0.0
2280.0 0.0
2340.0 0.0
2400.0 0.0
2460.0 0.0
2520.0 0.0
2580.0 0.0
2640.0 1.0
2700.0 1.0
2760.0 1.0
2820.0 1.0
2880.0 1.0
2940.0 1.0
3000.0 1.0
3060.0 1.0
3120.0 0.0
3180.0 0.0
3240.0 1.5
3300.0 1.5
3360.0 1.5
3420.0 1.5
3480.0 1.5
3540.0 1.5
